,class_sms,sms
25,ham,"Just,forced,myself,eat,slice,really,not,hungry,tho.,This,sucks.,Mark,getting,worried,knows,sick,when,turn,down,pizza.,Lol"
26,ham,"Lol,your,always,convincing."
27,ham,"Did,you,catch,the,bus,?,Are,you,frying,egg,?,Did,you,make,tea?,Are,you,eating,your,mom,left,over,dinner,you,feel,Love,?"
28,ham,"back,&amp,packing,the,car,now,let,you,know,there,room"
29,ham,"Ahhh.,Work,vaguely,remember,that!,What,does,feel,like?,Lol"
30,ham,"Wait,that,still,not,all,that,clear,,were,you,not,sure,about,being,sarcastic,that,that,why,doesn,want,live,with"
31,ham,"Yeah,got,and,was,apologetic,had,fallen,out,and,she,was,actin,like,spoilt,child,and,got,caught,that.,Till,!,But,won,there!,Not,doing,too,badly,cheers.,You?"
32,ham,"tell,anything,about,you."
33,ham,"For,fear,fainting,with,the,all,that,housework,you,just,did?,Quick,have,cuppa"
34,spam,"Thanks,for,your,subscription,Ringtone,your,mobile,will,charged,£/month,Please,confirm,replying,YES,you,reply,you,will,not,charged"
35,ham,"Yup,home,look,the,timings,then,msg,again...,Xuhui,going,learn,may,too,but,her,lesson"
36,ham,"Oops,let,you,know,when,roommate,done"
37,ham,"see,the,letter,car"
38,ham,"Anything,lor,decide..."
39,ham,"Hello!,How,you,and,how,did,saturday,was,just,texting,see,you,decided,anything,tomo.,Not,that,trying,invite,myself,anything!"
40,ham,"Pls,ahead,with,watts,just,wanted,sure,have,great,weekend.,Abiola"
41,ham,"Did,forget,tell,you,want,you,need,you,crave,you,...,But,most,all,love,you,sweet,Arabian,steed,...,Mmmmmm,...,Yummy"
42,spam,"-,Rodger,Burns,-,MSG,tried,call,you,your,reply,our,sms,for,free,nokia,mobile,+,free,camcorder.,Please,call,now,for,delivery,tomorrow"
43,ham,"WHO,ARE,YOU,SEEING?"
44,ham,"Great,hope,you,like,your,man,well,endowed;,inches..."
45,ham,"calls..messages..missed,calls"
46,ham,"Didn,you,get,hep,immunisation,nigeria."
47,ham,"Fair,enough,,anything,going?"
48,ham,"Yeah,hopefully,tyler,can,could,maybe,ask,around,bit"
49,ham,"don,know,how,stubborn,didn,even,want,the,hospital,kept,telling,Mark,not,weak,sucker.,Hospitals,are,for,weak,suckers."
50,ham,"What,you,thinked,about.,First,time,you,saw,class."
51,ham,"gram,usually,runs,like,half,eighth,smarter,though,and,gets,you,almost,whole,second,gram,for;"
52,ham,"fyi,has,ride,early,tomorrow,morning,but,crashing,our,place,tonight"
53,ham,"Wow,never,realized,that,you,were,embarassed,your,accomodations,thought,you,liked,,since,was,doing,the,best,could,and,you,always,seemed,happy,about,""the,cave,sorry,didn,and,don,have,more,give,sorry,offered,sorry,your,room,was,embarassing."
54,spam,"SMS,Sptv:,The,New,Jersey,Devils,and,the,Detroit,Red,Wings,play,Ice,Hockey.,Correct,Incorrect?,End?,Reply,END,SPTV"
55,ham,"you,know,what,Mallika,Sherawat,did,yesterday?,Find,out,now;URL;"
56,spam,"Congrats!,year,special,cinema,pass,for,yours.,call,now,Suprman,,Matrix,,StarWars,,etc,all,FREE.,Dont,miss,out!"
57,ham,"Sorry,call,later,meeting."
58,ham,"Tell,where,you,reached"
59,ham,"Yes..gauti,and,sehwag,out,odi,series."
60,ham,"Your,gonna,have,pick,$,burger,for,yourself,your,way,home,can,even,move.,Pain,killing."
61,ham,"good,joke.,Girls,are,situation,seekers."
62,ham,"Its,part,checking"
63,ham,"Sorry,roommates,took,forever,come,now?"
64,ham,"lar,double,check,wif,hair,dresser,already,said,wun,cut,short,said,will,cut,until,look,nice."
65,spam,"valued,customer,pleased,advise,you,that,following,recent,review,your,Mob.,you,are,awarded,with,£,Bonus,Prize,,call"
66,ham,"Today,""song,dedicated,day.."",Which,song,will,dedicate,for?,Send,this,all,valuable,frnds,but,first,rply..."
67,spam,"Urgent,awarded,complimentary,trip,EuroDisinc,Trav,,Aco&Entry,claim,txt,DIS,+*£.(moreFrmMob.,ShrAcomOrSglSuplt"
68,spam,"Did,you,hear,about,the,new,""Divorce,Barbie,comes,with,all,Ken,stuff!"
69,ham,"plane,give,this,month,end."
70,ham,"Wah,lucky,man...,Then,can,save,money...,Hee..."
71,ham,"Finished,class,where,are,you."
72,ham,"BABE,HOME,NOW,WANNA,SOMETHING"
73,ham,":)where,are,you?how,did,you,performed?"
74,ham,"can,call,now..."
75,ham,"waiting,machan.,Call,once,you,free."
76,ham,"Thats,cool,gentleman,and,will,treat,you,with,dignity,and,respect."
77,ham,"like,you,peoples,very,much:),but,very,shy."
78,ham,"Does,not,operate,after,what"
79,ham,"Its,not,the,same,here.,Still,looking,for,job.,How,much,earn,there."
80,ham,"Sorry,call,later"
81,ham,".,Did,you,call,just,now?"
82,ham,"the,way,home"
83,ham,"You,will,the,place,that,man"
84,ham,"Yup,next,stop."
85,ham,"call,you,later,,don,have,network,urgnt,,sms."
86,ham,"For,real,when,getting,only,need,more,tickets,and,one,more,jacket,and,done,already,used,all,multis."
87,ham,"Yes,started,send,requests,make,but,pain,came,back,back,bed.,Double,coins,the,factory,too,gotta,cash,all,nitros."
88,ham,"really,not,still,tonight,babe"
89,ham,"Ela,kano,download,,come,wen,free.."
90,ham,"Yeah!,Don,stand,close,tho-,you,catch,something!"
91,ham,"Sorry,pain,meet,another,night,spent,late,afternoon,casualty,and,that,means,haven,done,any,stuffmoro,and,that,includes,all,time,sheets,and,that.,Sorry."
92,ham,"Smile,Pleasure,Smile,Pain,Smile,when,trouble,pours,like,Rain,Smile,when,sum,Hurts,Smile,becoz,SOMEONE,still,Loves,see,Smiling!!"
93,spam,"Please,call,our,customer,service,representative,between,you,have,WON,guaranteed,£,cash,£,prize!"
94,ham,"Havent,planning,buy,later,check,already,lido,only,got,show,afternoon,finish,work,already?"
95,spam,"Your,free,ringtone,waiting,collected.,Simply,text,the,password,""MIX,verify.,Get,Usher,and,Britney.,FML,Box.,Ppw"
96,ham,"Watching,telugu,movie..wat,abt?"
97,ham,"see.,When,finish,have,loads,loans,pay"
98,ham,"been,hols,now!,Yes,for,bit,run.,Forgot,that,have,hairdressers,appointment,four,need,get,home,shower,beforehand.,Does,that,cause,prob,for?"""
99,ham,"see,cup,coffee,animation"
100,ham,"Please,don,text,anymore,have,nothing,else,say."
101,ham,"Okay,name,price,long,its,legal!,Wen,can,pick,them,ave,ams"
102,ham,"still,looking,for,car,buy.,And,have,not,gone,the,driving,test,yet."
103,ham,"per,your,request,'Melle,Melle,(Oru,Minnaminunginte,Nurungu,Vettam)',has,been,set,your,callertune,for,all,Callers.,Press,copy,your,friends,Callertune"
104,ham,"wow.,You,right,didn,mean,that,guess,once,gave,boston,men,and,changed,search,location,nyc,,something,changed.,Cuz,signin,page,still,says,boston."
105,ham,"Umma,life,and,vava,umma,love,you,lot,dear"
106,ham,"Thanks,lot,for,your,wishes,birthday.,Thanks,you,for,making,birthday,truly,memorable."
107,ham,"Aight,hit,you,when,get,some,cash"
108,ham,"How,would,address,test,that,considering,computer,isn,minecraft,server"
109,ham,"know!,Grumpy,old,people,mom,was,like,you,better,not,lying.,Then,again,always,the,one,play,jokes..."
110,ham,"Dont,worry,guess,busy."
111,ham,"What,the,plural,the,noun,research?"
112,ham,"Going,for,dinner.msg,you,after."
113,ham,"wif,cos,like,try,new,things.,But,scared,dun,like,mah.,Cos,said,not,too,loud."
114,spam,"GENT,are,trying,contact,you.,Last,weekends,draw,shows,that,you,won,£,prize,GUARANTEED.,Call,.,Claim,Code.,Valid,hrs,only.,ppm"
115,ham,"openin,sentence,very,formal...,Anyway,fine,too,,juz,eatin,too,much,puttin,weight...Haha,anythin,special,happened?"
116,ham,"entered,cabin,said,,'',Happy'day,Boss,felt,special.,She,askd,lunch.,After,lunch,she,invited,her,apartment,went,there."
117,spam,"You,are,winner,have,been,specially,selected,receive,*,holiday,(flights,inc),speak,live,operator,claim/min,(+)"
118,ham,"Goodo!,Yes,must,speak,friday,-,egg-potato,ratio,for,tortilla,needed!"
119,ham,"Hmm,uncle,just,informed,that,paying,the,school,directly,pls,buy,food."
120,spam,"PRIVATE!,Your,Account,Statement,for,shows,unredeemed,Bonus,Points,claim,call,Identifier,Code:,Expires"
121,spam,"URGENT!,Your,Mobile.,was,awarded,£,Bonus,Caller,Prize,//,This,our,final,try,contact!,Call,from,Landline,BOXWRC,,PPM"
122,ham,"here,new,address,-apples&pairs&all,that,malarky"
123,spam,"Todays,Voda,numbers,ending,are,selected,receive,$,award,you,have,match,please,call,quoting,claim,code,standard,rates,app"
124,ham,"going,sao,today.,Will,done,only"
125,ham,"predict,wat,time,finish,buying?"
126,ham,"Good,stuff,,will."
127,ham,"Just,that,you,know,yetunde,hasn,sent,money,yet,just,sent,her,text,not,bother,sending,its,over,,you,dont,have,involve,yourself,anything,shouldn,have,imposed,anything,you,the,first,place,for,that,apologise."
128,ham,"Are,you,there,room."
129,ham,"HEY,GIRL.,HOW?,HOPE,WELL,DEL,BAK!,AGAIN,LONG,TIME!,GIVE,CALL,SUM,TIME,FROM,LUCYxx"
130,ham,":)how,much,does,cost?"
131,ham,home.
132,ham,"Dear,,will,call,Tmorrow.pls,accomodate."
133,ham,"First,answer,question."
134,spam,"Sunshine,Quiz,Wkly!,Win,top,Sony,DVD,player,know,which,country,the,Algarve?,Txt,ansr:Tyrone"
135,spam,"Want,get,laid,tonight?,Want,real,Dogging,locations,sent,direct,mob?,Join,the,largest,Dogging,Network,Txting,GRAVEL.,eca.msg"
136,ham,"only,haf,msn,yijue@hotmail.com"
137,ham,"there.,You,call,and,meet,him"
138,ham,"will,check,all,rooms,befor,activities"
139,spam,"You,not,rcv,any,more,msgs,from,the,chat,svc.,For,FREE,Hardcore,services,text,get,nothing,must,Age,Verify,with,network,&,try,again"
140,ham,"Got,lazy,type,forgot,lect,saw,pouch,but,like,not,nice..."
141,ham,",,text,when,you,the,way"
142,ham,"Sir,,Waiting,for,your,mail."
143,ham,"swt,thought:,""Nver,get,tired,doing,little,things,lovable,persons.."",Coz..somtimes,those,little,things,occupy,biggest,part,their,Hearts..,Gud"
144,ham,"know,you,are.,Can,you,pls,open,the,back?"
145,ham,"Yes,see,not,the,dot"
146,ham,"Whats,the,staff,name,who,taking,class,for?"
147,spam,"FreeMsg,Why,haven,you,replied,text,Randy,,sexy,,female,and,live,local.,Luv,hear,from.,Netcollex,Ltd,per,msg,reply,Stop,end"
148,ham,"Ummma.will,call,after,check.our,life,will,begin,from,qatar,pls,pray,very,hard."
149,ham,"deleted,contact,that,why?"
150,ham,"Sindu,got,job,birla,soft,.."
151,ham,"The,wine,flowing,and,have,nevering.."
152,ham,"Yup,thk,cine,better,cos,need,down,plaza,mah."
153,ham,"typical,reply..."
154,ham,"per,your,request,'Melle,Melle,(Oru,Minnaminunginte,Nurungu,Vettam)',has,been,set,your,callertune,for,all,Callers.,Press,copy,your,friends,Callertune"
155,ham,"You,are,everywhere,dirt,the,floor,,the,windows,,even,shirt.,And,sometimes,when,open,mouth,,you,are,all,that,comes,flowing,out,dream,world,without,you,,then,half,chores,are,out,too,time,joy,for,,lots,shows,see.,But,guess,like,all,things,you,just,must,exist,,like,rain,,hail,and,mist,,and,when,time,here,done,,you,and,become,one."
156,ham,"Aaooooright,are,you,work?"
157,ham,"leaving,house,now..."
158,ham,"Hello,love.,What,are,you,doing?,Did,you,get,that,interview,today?,Are,you,you,happy?,Are,you,being,good,boy,you,think?Are,you,missing,?"
159,spam,"Customer,service,annoncement.,You,have,New,Years,delivery,waiting,for,you.,Please,call,now,arrange,delivery"
160,spam,"You,are,winner,have,been,specially,selected,receive,£,cash,*,holiday,(flights,inc),speak,live,operator,claim"
161,ham,"Keep,yourself,safe,for,because,need,you,and,miss,you,already,and,envy,everyone,that,see,you,real,life"
162,ham,"New,car,and,house,for,parents,have,only,new,job,hand:)"
163,ham,"love,with,you,excited,each,day,spend,with,you.,You,make,happy."
164,spam,"-PLS,STOP,bootydelious,inviting,you,her,friend.,Reply,YES-,See,her:,www.SMS/bootydelious,STOP?,Send,STOP,FRND"
165,spam,"BangBabes,order,the,way,SHOULD,receive,Service,Msg,download,content,not,,GoTo,wap.,bangb,mobile,internet/service,menu"
166,ham,"place,all,points,cultures,module,already."
167,spam,"URGENT,are,trying,contact,you.,Last,weekends,draw,shows,that,you,have,won,£,prize,GUARANTEED.,Call,.,Claim,code.,Valid,hrs,only"
168,ham,"frnd,,which,best,way,avoid,missunderstding,wit,our,beloved,one?"
169,ham,"Great,escape,fancy,the,bridge,but,needs,her,lager.,See,you,tomo"
170,ham,"Yes,completely,out,form:)clark,also,utter,waste."
171,ham,"Sir,need,AXIS,BANK,account,and,bank,address."
172,ham,"Hmmm..,Thk,sure,got,time,hop,ard,,can,free,abt...,Muz,call,discuss,liao..."
173,ham,"What,time,you,coming,down,later?"
174,ham,"Bloody,hell,,cant,believe,you,forgot,surname,.,Ill,give,clue,,its,spanish,and,begins,with..."
175,ham,"Well,gonna,finish,bath,now.,Have,good...fine,night."
176,ham,"Let,know,when,you,got,the,money,carlos,can,make,the,call"
177,ham,"still,going,the,mall?"
178,ham,"Turns,out,friends,are,staying,for,the,whole,show,and,won,back,til,feel,free,ahead,and,smoke,that;,worth"
179,ham,"Text,her,she,doesnt,reply,let,know,can,have,her,log"
180,ham,"!,You,just,spoke,MANEESHA,like,know,you,were,satisfied,with,the,experience.,Reply,Toll,Free,with,Yes."
181,ham,"You,lifted,hopes,with,the,offer,money,need.,Especially,when,the,end,the,month,approaches,and,hurts,studying.,Anyways,have,weekend"
182,ham,"Lol,can,trust."
183,ham,"gentleman,and,will,treat,you,with,dignity,and,respect."
184,ham,"will,,you,guys,close?"
185,ham,"Going,nothing,great.bye"
186,ham,"Hello,handsome,!,Are,you,finding,that,job,?,Not,being,lazy,?,Working,towards,getting,back,that,net,for,mummy,?,Where,boytoy,now,?,Does,miss,?"
187,ham,"Haha,awesome,there,minute"
188,spam,"Please,call,our,customer,service,representative,FREEPHONE,between,you,have,WON,guaranteed,£,cash,£,prize!"
189,ham,"Have,you,got,Xmas,radio,times,not,will,get,now"
190,ham,"jus,reached,home,bathe,first.,But,sis,using,net,tell,when,she,finishes..."
191,spam,"Are,you,unique,enough?,Find,out,from,August.,www.areyouunique"
192,ham,"sorry,joined,the,league,people,that,dont,keep,touch.,You,mean,great,deal.,You,have,been,friend,all,times,even,great,personal,cost,have,great,week.|"
193,ham,":)finally,completed,the,course:)"
194,ham,"will,stop,itself,however,suggest,she,stays,with,someone,that,will,able,give,ors,for,every,stool."
195,ham,"How,are,you,doing?,Hope,you,settled,for,the,new,school,year.,Just,wishin,you,day"
196,ham,"Gud,mrng,dear,hav,nice,day"
197,ham,"Did,got,that,persons,story"
198,ham,"your,hamster,dead?,Hey,tmr,meet,you,orchard,mrt?"
199,ham,"its,Kate,how,your,evening,hope,can,see,you,tomorrow,for,bit,but,have,bloody,babyjontet!,Txt,back,can.,:),xxx"
200,ham,"Found,,ENC;,,,where,you?"
201,ham,"sent,you;,bucks"
202,ham,"Hello,darlin,ive,finished,college,now,txt,when,finish,can,love,Kate,xxx"
203,ham,"Your,account,has,been,refilled,successfully,INR;DECIMAL;,.,Your,KeralaCircle,prepaid,account,balance;DECIMAL;,.,Your,Transaction;,."
204,ham,"Goodmorning,sleeping."
205,ham,"call,alter."
206,ham,"say,until,like,dat,dun,buy,ericsson,oso,cannot,oredi,lar..."
207,ham,"entered,cabin,said,,'',Happy'day,Boss,felt,special.,She,askd,lunch.,After,lunch,she,invited,her,apartment,went,there."
208,ham,"Aight,,dats,straight,dogg"
209,ham,"You,please,give,connection,today,itself,before;DECIMAL,refund,the,bill"
210,ham,"Both,shoot,big,loads,get,ready!"
211,ham,"What,bruv,,hope,you,had,great,break,have,rewarding,semester."
212,ham,"Home,can,always,chat"
213,ham,":)good:)study,well."
214,ham,"Yup...,How,noe,leh..."
215,ham,"Sounds,great!,Are,you,home,now?"
216,ham,"Finally,the,match,heading,towards,draw,your,prediction."
217,ham,"Tired,haven,slept,well,the,past,few,nights."
218,ham,"Easy?sen,got,selected,means,its,good.."
219,ham,"have,take,exam,with,march"
220,ham,"Yeah,you,should,think,you,can,use,your,atm,now,register.,Not,sure,but,there,anyway,can,help,let,know.,But,when,you,sure,you,are,ready."
221,ham,"prob.,Take,time."
222,ham,"There,called,ubandu,which,will,run,without,installing,hard,disk...you,can,use,that,copy,the,important,files,system,and,give,repair,shop.."
223,ham,"Sorry,call,later"
224,ham,"say,leh,course,nothing,happen,lar.,Not,say,romantic,jus,bit,only,lor,thk,nite,scenery,not,nice,leh."
225,spam,"New,Mobiles,from,,,MUST!,Txt:,NOKIA:,&,collect,yours,today!From,ONLY,£,www.biz,optout,.gbp/mtmsg"
226,ham,"Would,really,appreciate,you,call.,Just,need,someone,talk."
227,spam,"Will,meet,dream,partner,soon,career,off,flyng,start?,find,out,free,,txt,HORO,followed,star,sign.,HORO,ARIES"
228,ham,"Hey,company,elama,mudyadhu."
229,ham,"Life,more,strict,than,teacher...,Bcoz,Teacher,teaches,lesson,&amp;,then,conducts,exam,,But,Life,first,conducts,Exam,&amp;,then,teaches,Lessons.,Happy,morning.,.,."
230,ham,"Dear,good,morning,now,only"
231,ham,"Get,down,gandhipuram,and,walk,cross,cut,road.,Right,side;,street,road,and,turn,first,right."
232,ham,"Dear,are,going,our,rubber,place"
233,ham,"Sorry,battery,died,,yeah,here"
234,ham,"Yes:)here,always,available,work,place.."
235,spam,"Text,&,meet,someone,sexy,today,can,find,date,even,flirt,its.,Join,just.,REPLY,with,NAME,&,AGE,Sam,.,-msg,recd@thirtyeight,pence"
236,ham,"have,printed;,come,upstairs"
237,ham,"ill,little,closer,like,the,bus,stop,the,same,street"
238,ham,"Where,are,you?when,wil,you,reach,here?"
239,ham,"New,Theory:,Argument,wins,SITUATION,,but,loses,the,PERSON,dont,argue,with,friends,just..,.,.,.,kick,them,&amp;,say,always,correct.!"
240,spam,"have,secret,admirer,who,looking,make,contact,with-find,out,who,they*reveal,who,thinks,special-call"
241,ham,"Tomarrow,final,hearing,laptop,case,cant."
242,ham,"PLEASSSSSSSEEEEEE,TEL,AVENT,DONE,SPORTSx"
243,ham,"Okay,,just,shining.,That,was,meant,signing,,but,that,sounds,better."
244,ham,"Although,told,dat,into,baig,face,watches,now,but,really,like,watch,gave,cos.,Thanx,everything,dat,done,today,touched..."
245,ham,"don,remember,that,old,commercial?"
246,ham,"Too,late,said,have,the,website,didn,have,dont,have,the,slippers"
247,ham,"asked,you,call,him,now"
248,ham,"Kallis,wont,bat,innings."
249,ham,"didnt,work,again,goodnight,then,fix,and,have,ready,the,time,you,wake.,You,are,very,dearly,missed,have,good,night,sleep."
250,spam,"Congratulations,awarded,vouchers,gift,guaranteed,&,Free,entry,wkly,draw,txt,MUSIC,TnCs,www.Ldew.comwinppmxage"
251,ham,"Ranjith,cal,drpd,Deeraj,and,deepak,min,hold"
252,ham,"Wen,lovable,bcums,angry,wid,,dnt,take,seriously..,Coz,being,angry,most,childish,true,way,showing,deep,affection,,care,luv!..,kettoda,manda...,Have,nice,day."
253,ham,"What,you,doing?how,are,you?"
254,ham,"Ups,which,days,also,,and,the,shipping,company,that,takes,wks.,The,other,way,usps,which,takes,week,but,when,gets,lag,you,may,have,bribe,nipost,get,your,stuff."
255,ham,"back,,lemme,know,when,you,ready"
256,ham,"Don,necessarily,expect,done,before,you,get,back,though,because,just,now,headin,out"
257,ham,"Mmm,yummy,babe,...,Nice,jolt,the,suzy"
258,ham,"Where,are,you,lover,need,you,..."
259,spam,"tried,contact,you,your,reply,our,offer,Video,Handset?,anytime,networks,mins?,UNLIMITED,TEXT?,Camcorder?,Reply,call,NOW"
260,ham,"parked,next,MINI!!!!,When,are,you,coming,today,you,think?"
261,ham,Yup
262,ham,"Anyway,going,shopping,own,now.,Cos,sis,not,done,yet.,Dun,disturb,liao."
263,ham,"LUTON,RING,AROUND*"
264,spam,"Hey,really,horny,want,chat,see,naked,text,hot,text,charged,unsubscribe,text,stop"
265,ham,"Why,you,Dint,come,with."
266,ham,"Same.,Wana,plan,trip,sometme,then"
267,ham,"Not,sure,yet,,still,trying,get,hold,him"
268,spam,"ringtone,service,has,changed!,Free,credits,clubmobiles.com,choose,content,now!,Stop?,txt,CLUB,STOP,Club,Box"
269,ham,"The,evo,just,had,download,flash.,Jealous?"
270,spam,"Ringtone,Club:,Get,the,singles,chart,your,mobile,each,week,and,choose,any,top,quality,ringtone!,This,message,free,charge."
271,ham,"Come,sorting,out,our,narcotics,situation"
272,ham,"Night,has,ended,for,another,day,,morning,has,come,special,way.,May,you,smile,like,the,sunny,rays,and,leaves,your,worries,the,blue,blue,bay."
273,spam,"HMV,BONUS,SPECIAL,pounds,genuine,HMV,vouchers,won.,Just,answer,easy,questions.,Play,Now!,Send,HMV,More,info:www.percent-real.com"
274,ham,"Usf,guess,,might,well,take,car"
275,ham,"objection,not,coming."
276,ham,Thanx...
277,ham,"Tell,rob,mack,his,the,theater"
278,ham,"Awesome,see,you,bit"
279,ham,"Just,sent,what,type,food,you,like?"
280,ham,"All,done?,All,handed?,Celebrations,full,swing,yet?"
281,ham,"You,got,called,tool?"
282,ham,"Wen,miss,someone,,the,person,definitely,special,for.....,But,the,person,special,,why,miss,them,,just,Keep-touch,gdeve.."
283,ham,"asked,for,money,how,far"
284,ham,Okie...
285,ham,"Yeah,think,usual,guy,still,passed,out,from,last,night,you,get,ahold,anybody,let,know,and,throw,down"
286,ham,"might,come,tonight,then,class,lets,out,early"
287,ham,..
288,ham,"baby,cruisin,with,girl,friend,what,?,give,call,and,hour,home,thats,alright,fone,this,fone,now,love,jenny,xxx"
289,ham,"life,Means,lot,,Not,because,love,life,,But,because,love,the,people,life,,The,world,calls,them,friends,call,them,World:-).."
290,ham,"Dear,shall,mail,tonite.busy,the,street,shall,update,you,tonite.things,are,looking.varunnathu,edukkukayee,raksha,ollu.but,good,one,real,sense."
291,ham,"Hey,you,told,your,name,gautham?"
292,ham,"Haf,found,him,feel,stupid,cam,was,working."
293,ham,"Oops.,got,that,bit."
294,ham,"Are,you,this,much,buzy"
295,ham,"accidentally,deleted,the,message.,Resend,please."
296,spam,"-Mobile,customer,you,may,now,claim,your,FREE,CAMERA,PHONE,upgrade,pay,sim,card,for,your,loyalty.,Call,.Offer,ends,thFeb,apply"
297,ham,"Unless,situation,where,YOU,GURL,would,more,appropriate"
298,ham,"Hurt...,Tease...,Make,cry...,But,the,end,life,when,die,plz,keep,one,rose,grave,and,say,STUPID,MISS..,HAVE,NICE,DAY,BSLVYL"
299,ham,"cant,pick,the,phone,right,now.,Pls,send,message"
300,ham,"Need,coffee,run,tomo?Can,believe,that,time,week,already"
301,ham,"Awesome,remember,the,last,time,got,somebody,high,for,the,first,time,with,diesel"
302,ham,"Shit,that,really,shocking,and,scary,,cant,imagine,for,second.,Def,for,night,out,think,there,somewhere,could,crash,for,night,,save,taxi?"
303,ham,"and,the,way,you,have,more,food,your,fridge!,Want,out,for,meal,tonight?"
304,ham,"womdarfull,actor"
305,spam,"SMS,Blind,Date!:,Rodds,from,Aberdeen,,United,Kingdom.,Check,Him,out,http://img.,sms/icmbcktzr,Blind,Dates,send,HIDE"
306,ham,"Yup...,From,what,remb,think,should,can,book..."
307,ham,"Jos,ask,wana,meet?"
308,ham,"Lol,yes.,Our,friendship,hanging,thread,cause,won,buy,stuff."
309,spam,"TheMob>,Check,out,our,newest,selection,content,,Games,,Tones,,Gossip,,babes,and,sport,,Keep,your,mobile,fit,and,funky,text,WAP"
310,ham,"Where,are,the,garage,keys?,They,aren,the,bookshelf"
311,ham,"Today,ACCEPT,DAY,Accept?,Brother,Sister,Lover,Dear,Best,Clos,Lvblefrnd,Jstfrnd,Cutefrnd,Lifpartnr,Belovd,Swtheart,Bstfrnd,rply,means,enemy"
312,spam,"Think,smart,?,Win,£,this,week,our,weekly,quiz,,text,PLAY,now,WinnersClub,BOX.,+.,GBP./week"
313,ham,"says,give,call,when,his,friend,got,the,money,but,that,definitely,buying,before,the,end,the,week"
314,ham,"the,way,was,with,day,the,normal,way&this,the,real,unique,hope,know,the,rest,mylife.,Hope,find,wot,was,lost."
315,ham,"You,made,day,have,great,day,too."
316,ham,":)advance,happy,pongal."
317,ham,"Hmmm...,Guess,can,power,yoga...,Haha,,dunno,can,tahan,power,yoga,anot...,Thk,got,oso,,forgot,liao..."
318,ham,"Not,really,dude,,have,friends,afraid,:("
319,spam,"December,only!,Had,your,mobile,mths+?,You,are,entitled,update,the,latest,colour,camera,mobile,for,Free!,Call,The,Mobile,Update,FREE"
320,ham,"Coffee,cake,guess..."
321,ham,"Merry,Christmas,you,too,babe,love,*kisses*"
322,ham,"Hey...,Why,dont,just,watch,men,and,have,lunch...,Haha"
323,ham,"cud,tell,ppl,gona,bit,cos,buses,hav,gon,past,cos,they,were,full,still,waitin,.,Pete"
324,ham,"That,would,great,the,Guild.,Could,meet,Bristol,road,somewhere,-,will,get,touch,over,weekend.,Our,plans,take,flight!,Have,good,week"
325,ham,"problem.,How,are,you,doing?"
326,ham,"calls..messages..missed,calls"
327,ham,":)how,the,todays,class?"
328,ham,"say,that,good,sign,but,,well,,you,know,track,record,reading,women"
329,ham,"Cool,,text,when,you,parked"
330,ham,"reading,the,text,just,sent,you.,Its,meant,joke,read,that,light"
