,class_sms,sms
225,spam," New Mobiles from , MUST! Txt: NOKIA:  & collect yours today!From ONLY £ www.biz optout .gbp/mtmsg"
227,spam,"Will meet dream partner soon career off flyng start?  find out free, txt HORO followed star sign. HORO ARIES"
235,spam,Text & meet someone sexy today can find date even flirt its. Join  just. REPLY with NAME & AGE Sam .  -msg recd@thirtyeight pence
240,spam,  have secret admirer who looking  make contact with-find out who they*reveal who thinks special-call 
250,spam,Congratulations awarded vouchers gift guaranteed & Free entry   wkly draw txt MUSIC  TnCs www.Ldew.comwinppmxage
259,spam, tried contact you your reply our offer Video Handset?  anytime networks mins? UNLIMITED TEXT? Camcorder? Reply call  NOW
264,spam,Hey really horny want chat see naked text hot  text charged unsubscribe text stop 
268,spam, ringtone service has changed!  Free credits clubmobiles.com choose content now! Stop? txt CLUB STOP Club Box
270,spam,Ringtone Club: Get the singles chart your mobile each week and choose any top quality ringtone! This message free charge.
273,spam,HMV BONUS SPECIAL  pounds genuine HMV vouchers won. Just answer  easy questions. Play Now! Send HMV  More info:www.percent-real.com
296,spam,-Mobile customer you may now claim your FREE CAMERA PHONE upgrade pay sim card for your loyalty. Call   .Offer ends thFeb apply
305,spam,"SMS Blind Date!: Rodds from Aberdeen, United Kingdom. Check Him out http://img. sms/icmbcktzr Blind Dates send HIDE"
309,spam,"TheMob> Check out our newest selection content, Games, Tones, Gossip, babes and sport, Keep your mobile fit and funky text WAP "
312,spam,"Think smart ? Win £ this week our weekly quiz, text PLAY  now WinnersClub BOX. +. GBP./week"
319,spam,December only! Had your mobile mths+? You are entitled update the latest colour camera mobile for Free! Call The Mobile Update FREE 
333,spam,Call Germany for only  pence per minute! Call from fixed line via access number prepayment. Direct access!
335,spam,Valentines Day Special! Win over our quiz and take your partner the trip lifetime! Send  now/msg rcvd. CustCare:.
349,spam,Fancy shag.Interested? sextextuk.com txt XXUK SUZY . Txts cost . per msg. TnCs website
357,spam,Congratulations awarded vouchers gift guaranteed & Free entry   wkly draw txt MUSIC  TnCs www.Ldew.comwinppmxage
358,spam, cash-balance currently  pounds maximize cash now send CASH  only/msg/Suite/Lands Row/WJHL
367,spam,"Update_Now - Xmas Offer! Latest Motorola, SonyEricsson & Nokia & FREE Bluetooth! Double Mins &  Txt Orange. Call MobileUpd calloptout="
368,spam,Here your discount code stop further messages reply stop. www.regalportfolio. Customer Services 
375,spam,"Thanks for your Ringtone Order, Reference. You will charged GBP  per week. You can unsubscribe anytime calling customer services "
385,spam,"Double mins and txts  months FREE Bluetooth Orange. Available Sony, Nokia Motorola phones. Call MobileUpd calloptout/NDX"
389,spam,mths half price Orange line rental & latest camera phones  FREE. Had your phone mths ? Call MobilesDirect free update now! orstoptxt
401,spam,"FREE RINGTONE text FIRST  for poly text GET  for true tone! Help?    after free, tones are txt stop"
415,spam, dating service cal  boxskch
418,spam,FREE entry into our £ weekly competition just text the word WIN  NOW www.txttowin
420,spam,Send logo lover -  names joined heart. Txt LOVE NAME NAME MOBNO LOVE ADAM EVE  Yahoo! POBoxWWQ TxtNO ads
422,spam,Someone has contacted our dating service and entered your phone because they fancy you find out who call from landline  . PoBoxntfp
424,spam,URGENT! Your Mobile number has been awarded with £ prize GUARANTEED. Call  from land line. Claim . Valid hrs only
433,spam,Congrats! Nokia  video camera phone your Call  Calls cost ppm Ave call mins vary from mobiles + Close  post BCM Ldn WCNXX
455,spam,"Loan for any purpose £ - £,. Homeowners + Tenants welcome. Have you been previously refused can still help. Call Free text back 'help'"
463,spam,"UpgrdCentre Orange customer, you may now claim your FREE CAMERA PHONE upgrade for your loyalty. Call now   . Offer ends July apply. Opt-out available"
471,spam,okmail: Dear Dave this your final notice collect your * Tenerife Holiday # CASH award! Call  from landline. TCs SAE Box CWWX ppm
474,spam,Want  get laid tonight? Want real Dogging locations sent direct Mob? Join the largest Dogging Network txting MOAN Nyt. eca.msg
487,spam,"FREE MESSAGE Activate your  FREE Text Messages replying this message with the word FREE For terms & conditions, visit www..com"
492,spam,"Congrats!  year special cinema pass for yours. call  now Suprman, Matrix, StarWars, etc all  FREE. Dont miss out!"
505,spam,+ Congratulations this week competition draw have won the £ prize claim just call/stop SMS . Over  only ppm
515,spam,You are guaranteed the latest Nokia Phone iPod player £ prize! Txt word: COLLECT: ! IBHltd LdnWH/Mtmsgrcvd+
517,spam,Boltblue tones for Reply POLY MONO POLY . Cha Cha Slide . Yeah . Slow Jamz . Toxic . Come With STOP  more tones txt MORE
518,spam,Your credits have been topped for http://www.bubbletext.com Your renewal Pin tgxxrz
525,spam,"URGENT!: Your Mobile. was awarded £, Bonus Caller Prize //! This our attempt contact YOU! Call -- BOXQU"
527,spam,"Today Offer! Claim £ worth discount vouchers! Text YES  now! SavaMob, member offers mobile . £. Sub.  . Unsub reply"
529,spam,You will recieve your tone within the next hrs. For Terms and conditions please see Channel Teletext 
531,spam,PRIVATE! Your  Account Statement for  shows-redeemed. points. Call  Identifier Code  Expires // 
541,spam,from www.Applausestore.com MonthlySubscription/msg max/month&CsC web age stop txt stop
564,spam,GENT are trying contact you. Last weekends draw shows that you won £ prize GUARANTEED. Call . Claim Code. Valid hrs only. ppm 
576,spam,"You have won ?, cash ?, prize claim, call"
579,spam,our mobile number has won claim calls back ring the claims hot line .
583,spam, tried contact you your reply our offer  mins  textand new video phone call  now reply for free delivery tomorrow
591,spam,For chance win £ wkly shopping spree TXT: SHOP www.txt--shop.com custcare
592,spam,You have been specially selected receive  pound award! Call  BEFORE the lines close. Cost ppm apply Promo
593,spam,PRIVATE! Your  Account Statement for  shows-redeemed. points. Call  Identifier Code:  Expires //
598,spam,You have important customer service announcement. Call FREEPHONE    now!
607,spam,XCLUSIVE@CLUBSAISAI MOROW / SOIREE SPECIALE ZOUK WITH NICHOLS FROM PARIS.FREE ROSES  ALL LADIES !!! info: / 
611,spam, days kick off! For Euro will kept date with the latest news and results daily removed send GET TXT STOP 
629,spam,New TEXTBUDDY Chat  horny guys area  just Free  receive Search postcode gaytextbuddy.com. TXT ONE name 
630,spam,Todays Vodafone numbers ending with  are selected receive £ award your number matches call receive your £ award.
635,spam,"Dear Voucher Holder,  claim this weeks offer your http://www-tlp/expressoffer apply. stop texts txt STOP ."
648,spam,PRIVATE! Your  Account Statement for shows-redeemed. points. Call  Identifier Code:  Expires //
650,spam,"You have won ?, cash ?, prize claim, call: RSTM. ppm"
660,spam, and  are premium phone services call 
672,spam,"SMS sun posts HELLO:""You seem cool, wanted say!!!"" Stop? Send STOP "
673,spam,Get RINGTONE FREE NOW! Reply this msg with TONE TOP  tones your phone every week just £. per  opt out send STOP  
684,spam, sue  years old and work lapdancer love sex. Text live bedroom now. text SUE TextOperator ppmsg +
690,spam,<Forwarded from >Please CALL  immediately there urgent message waiting for you.
709,spam, review and KEEP the fantastic Nokia-Gage game deck with Club Nokia  www.cnupdates.com/newsletter. unsubscribe from alerts reply with the word OUT
710,spam,mths half price Orange line rental & latest camera phones  FREE. Had your phone mths+? Call MobilesDirect free update now! orstoptxt
713,spam, between Cost
717,spam,+ URGENT! This the attempt contact have WON £ CALL&CsBCMWCNXX. callcost ppm mobilesvary. max£. 
719,spam,You have WON guaranteed £ cash £ prize claim prize call our customer service representative  between
731,spam,Email AlertFrom: Jeri StewartSize: KBSubject: Low-cost prescripiton drvgsTo listen email call 
738,spam,. Customer Loyalty Offer:The NEW Nokia Mobile from ONLY TXTAUCTION! Txt word: START:  & get yours Now&Ctxt/MTmsg
748,spam, are subscribed the best Mobile Content Service the for £ per  days until you send STOP . Helpline 
751,spam, you realize that about  years have thousands old ladies running around with tattoos?
752,spam,You have important customer service announcement from PREMIER.
761,spam,"Romantic Paris.  nights,  flights from £ Book now  next year. Call apply."
763,spam,Urgent £ guaranteed award still unclaimed! Call  NOW closingdate// claimcode £.pmmorefrommobileBremoved-MobyPOBoxLSYF
766,spam, awarded City Break and could WIN £ Summer Shopping spree every. Txt STORE  . SkilGme. TsCsWinawk!Age £.perWKsub
784,spam,You have important customer service announcement from PREMIER. Call FREEPHONE    now!
788,spam,Ever thought about living good life with perfect partner? Just txt back NAME and AGE join the mobile community/SMS)
789,spam," Free Top Polyphonic Tones call , National Rate. Get toppoly tune sent every week, just text SUBPOLY , £ per pole. UnSub ."
797,spam,"Orange customer, you may now claim your FREE CAMERA PHONE upgrade for your loyalty. Call now   . Offer ends thMarch apply. Opt-out availa"
801,spam,"Last Chance! Claim £ worth discount vouchers today! Text SHOP  now! SavaMob, offers mobile SavaMob POBOX, MUZ. £. Sub. "
803,spam,FREE for week Nokia tone mobile every week just txt NOKIA  Get txting and tell mates. www.getzed POBox  WWQ + normp/tone
804,spam,You have won guaranteed £ award even £ cashto claim award call free  (+)  stop getstop  PHP
813,spam,Congratulations awarded either gift vouchers & Free entry  our £ weekly draw txt MUSIC  TnCs www.Ldew.comwinppmxage
815,spam," were outbid simonwatson the Shinco DVD Plyr.  bid again, visit sms/smsrewards  end bid notifications, reply END OUT"
823,spam,"SMSSERVICES. for yourinclusive text credits, pls goto www.comuk.net login= qxj unsubscribe with STOP extra charge. help .COMUK"
824,spam,  alfie Moon Children need song mob. Tell. Txt Tone charity  for Nokias Poly charity for polys: zed  profit  charity.
831,spam, have secret admirer. REVEAL who thinks special. Call opt out Reply REVEAL STOP. . per msg recd. Cust care 
833,spam,"Dear Voucher Holder claim this weeks offer you please http://www-tlp/expressoffer apply stop texts, txt STOP "
837,spam, you want  anytime any network mins  text and NEW VIDEO phone for only five pounds per week call reply for delivery tomorrow
839,spam, tried contact you our offer New Video Phone  anytime any network mins HALF PRICE Rental camcorder call reply for delivery Wed
840,spam,Last chance  claim £ worth discount vouchers-Text YES  now!SavaMob-member offers mobile . £. Sub.  . Remove txt STOP
844,spam,"Urgent! call  from your landline. Your complimentary * Ibiza Holiday , cash await collection SAE BOX  ppm + "
850,spam,"Today Offer! Claim £ worth discount vouchers! Text YES  now! SavaMob, member offers mobile . £. Sub.  . Unsub reply"
856,spam,Talk sexy!! Make new friends fall love the worlds most discreet text dating service. Just text VIP  and see who you could meet.
866,spam,Congratulations awarded either yrs supply CDs from Virgin Records Mystery Gift GUARANTEED Call www.smsco.net approx mins
868,spam,PRIVATE! Your  Account Statement for  XXXXXX shows-redeemed. points. Call  Identifier Code:  Expires //
869,spam,Hello need some posh birds and chaps user trial prods for champneys. Can put you down need your address and dob asap
870,spam,What want for Xmas? How about  free text messages new video phone with half price line rental? Call free now find out more!
876,spam,"Shop till Drop YOU, either, £ Cash £ Travel voucher, Call now, . NTT Box CRBT fixedline Cost ppm mobile vary"
878,spam,Sunshine Quiz Wkly! Win top Sony DVD player know which country Liverpool played mid week? Txt ansr:Tyrone
879,spam, have secret admirer who looking  make contact with-find out who they*reveal who thinks special-call 
880,spam, have Secret Admirer who looking  make contact with-find out who they*reveal who thinks special-call -stopsms-
881,spam,Reminder: You have not downloaded the content you have already paid for. Goto http://doit. mymoby collect your content.
900,spam,"Your free ringtone waiting collected. Simply text the password ""MIX verify. Get Usher and Britney. FML Box. Ppw "
907,spam,"all the lastest from Stereophonics, Marley, Dizzee Racal, Libertines and The Strokes! Win Nookii games with Flirt!! Click TheMob WAP Bookmark text WAP "
910,spam,"January Male Sale! Hot Gay chat now cheaper, call . National rate from/min cheap/min peak stop texts call/min)"
930,spam,money!!! you lucky winner !  claim your prize text money   over £million give away ! pptx+normal text rate box wtjy
935,spam,"Dear Matthew please call  from landline, your complimentary *Lux Tenerife holiday £ CASH await collection. ppm SAE Box SKXH."
939,spam,"Urgent! call  from Landline. Your complimentary * Tenerife Holiday £, cash await collection SAE BOX ppm +"
943,spam,How about getting touch with folks waiting for company? Just txt back your NAME and AGE opt! Enjoy the community/SMS)
947,spam, cash-balance currently  pounds maximize cash now send  only/msg BOX / TCR
955,spam,Filthy stories and GIRLS waiting for your
962,spam,URGENT are trying contact. Todays draw shows that you have won £ prize GUARANTEED. Call  from land line. Claim. Validhrs only
983,spam,"Congrats!  mobile Videophones yours. call  now! videochat wid your mates, play java games, Dload polyPH music, noline rentl."
1002,spam,Please call our customer service representative FREEPHONE    between you have WON guaranteed £ cash £ prize!
1007,spam,Panasonic & BluetoothHdset FREE. Nokia FREE. Motorola FREE & DoubleMins & DoubleTxt Orange contract. Call MobileUpd call optout
1017,spam,FREE for week Nokia tone mob every week just txt NOKIA  Get txting and tell mates www.getzed POBox  WWQ normp/tone +
1022,spam,Guess what! Somebody you know secretly fancies you! Wanna find out who? Give call  From Landline DATEBoxEssexCMXN/min 
1045,spam," know someone who you know that fancies you. Call find out who. POBox , LSHB"
1048,spam, flirting NOW! Txt GIRL BLOKE NAME & AGE GIRL ZOE join and get chatting!
1050,spam, days Euro kickoff will kept informed all the latest news and results daily. Unsubscribe send GET EURO STOP .
1060,spam,EASTENDERS Quiz. What FLOWER does DOT compare herself= VIOLET= TULIP= LILY txt  NOW  chance  WIN £ Cash WKENT+
1064,spam, have new local dates your area - Lots new people registered YOUR AREA. Reply DATE start now!  only www.flirtparty REPLYS
1069,spam,Someone know has asked our dating service  contact you! Cant Guess who? CALL  NOW all will revealed BOX
1072,spam,URGENT are trying contact. Todays draw shows that you have won £ prize GUARANTEED. Call  from land line. Claim. Validhrs only
1073,spam,Dear been invited XCHAT. This our final attempt contact! Txt CHAT 
1089,spam,You are awarded SiPix Digital Camera! call  from landline. Delivery within days Box. MBP warranty. ppm£.
1091,spam,WIN URGENT! Your mobile number has been awarded with £ prize GUARANTEED call  from land line. claim  valid hrs only ppm 
1097,spam,Dear Subscriber draw  £ gift voucher will entered receipt correct ans. When was Elvis Presleys Birthday? TXT answer 
1105,spam,Message Important information for user. Today your lucky day!  find out why log onto http://www.urawinner.com there fantastic surprise awaiting you
1118,spam," You have won £, price claim, call ."
1120,spam,"Bored speed dating? Try SPEEDCHAT, txt SPEEDCHAT you don like txt SWAP and get new chatter! Chat POBoxWWQ/msg rcd "
1122,spam, you want  anytime any network mins  text and NEW video phone for only five pounds per week call  now reply for delivery Tomorrow
1126,spam,For taking part our mobile survey yesterday! You can now have  texts  use however you wish.  get txts just send TXT www.txt.com
1129,spam, HMV Quiz cash-balance currently maximize cash now send HMV  only/msg
1137,spam,Dont forget you can place many FREE Requests with stchoice you wish. For more Information call .
1142,spam, don know and don know. Send CHAT  now and let find each other! Only/Msg rcvd/Suite/Lands/Row/WJHL LDN.  years over.
1146,spam,"Thank you, winner notified sms. Good Luck future marketing reply STOP  customer services "
1154,spam, girls many local who virgins  this ready  fil every sexual need. Can fil theirs? text CUTE)
1163,spam,Free entry wkly comp win Cup final tkts May . Text receive entry question(std txt rate apply over
1172,spam,"Got what takes  take part the WRC Rally can with Lucozade Energy! Text RALLY), see packs lucozade/wrc & itcould!"
1194,spam,Sex mobile with FREE sexy pic Jordan! Just text BABE . Then every get sexy celeb! PocketBabe  more pics 
1196,spam,You have  new voicemail. Please call 
1205,spam,WIN year supply CDs store choice worth £ & enter our £ Weekly draw txt MUSIC www.Ldew.com.subs+winppmx
1207,spam," SIM subscriber, you are selected receive Bonus! Get delivered your door, Txt the word claim/msg, EXP. Apr"
1217,spam,You have  new voicemail. Please call .
1221,spam,.  Nokia Tone mob every week! Just txt NOK Tone FREE get txtin now and tell friends/tone.  reply info
1225,spam,You are winner have been specially selected  receive £ cash * holiday (flights inc) speak live operator  claim 
1227,spam,Reply with your name and address and YOU WILL RECEIVE POST weeks completely free accommodation various global locations www.phb.com
1229,spam,FREE entry into our £ weekly comp just send the word ENTER  NOW www.textcomp.com cust care .
1252,spam,Please CALL  immediately there urgent message waiting for you
1263,spam,"Hungry gay guys feeling hungry and, now. Call  just/min stop texts call/min)"
1269,spam,Can get  phone NOW wanna chat  set meet Call NOW can cum here moro Luv JANE Calls£/minmoremobsEMSPOBoxPOWA
1274,spam,network operator. The service free. For visit .biz
1307,spam,Enjoy the jamster videosound gold club with your credits for  new videosounds+ logos+musicnews! get more fun from jamster! +only Help? call:  
1308,spam,"Get  Lions England tone, reply lionm  mono lionp  poly.  more  www.ringtones, the original best. Tones GBP network operator rates apply"
1318,spam,"Win the newest “Harry Potter and the Order the Phoenix (Book ) reply HARRY, answer  questions - chance the first among readers!"
1328,spam, balance now next question: Who sang 'Uptown Girl the ?  answer txt ANSWER . Good luck!
1350,spam,"FREEDAY sexy George Day pic Jordan!Txt PIC  dont miss out, then every saucy celeb! more pics PocketBabe"
1366,spam,HOT LIVE FANTASIES call now  Just per min NTT Ltd Box  Croydon
1374,spam,"Bears Pic Nick, and Tom, Pete and ... Dick fact, all types try gay chat with photo upload call/min).  stop texts call "
1375,spam," New Mobiles from , MUST! Txt: NOKIA:  & collect yours today!From ONLY £ www.biz optout .gbp/mtmsg TXTAUCTION"
1378,spam,Double Mins & Double Txt & / price Linerental Latest Orange Bluetooth mobiles. Call MobileUpd for the very latest offers calloptout
1380,spam,.  Nokia Tone mob every week! Just txt NOK Tone FREE get txtin now and tell friends/tone.  reply info
1407,spam,"URGENT, IMPORTANT INFORMATION FOR USER. TODAY YOUR LUCKY DAY!  FIND OUT WHY LOG ONTO HTTP://WWW.URAWINNER.COM THERE FANTASTIC SURPRISE AWAITING FOR YOU"
1414,spam,Dear been invited XCHAT. This our final attempt contact! Txt CHAT/MsgrcvdHG/Suite/Lands/Row/WJHL LDN  yrs
1423,spam,Congratulations awarded either gift vouchers & Free entry  our £ weekly draw txt MUSIC  TnCs www.Ldew.com  winppmxage
1430,spam,For sale - arsenal dartboard. Good condition but doubles trebles!
1444,spam,Free week entry  TEXTPOD chance  win iPod £ cash every. Txt POD www.textpod.net custcare .
1449,spam, registered optin subscriber draw  £ gift voucher will entered receipt correct ans  Whats the BBC charts
1456,spam,Summers finally here! Fancy chat flirt with sexy singles area get MATCHED just reply SUMMER now. Free  Join. OptOut txt STOP Help
1458,spam,CLAIRE here havin borin time now alone wanna cum over nite? Chat now  hope Luv CLAIRE Calls£/minmoremobsEMSPOBoxPOWA
1460,spam,Bought one ringtone and now getting texts costing  pound offering more tones etc
1463,spam," URGENT! Your mobile xxxxxxxxx won £, bonus caller prize //! this the attempt reach YOU! call  ASAP!"
1466,spam,YOU  are guaranteed the latests Nokia Phone iPod player £ prize! Txt word:COLLECT-LLC-USA msgrcvd+
1469,spam, its LUCY Hubby meetins all day Fri will alone hotel fancy cumin over? Pls leave msg day  Lucy Calls£/minMobsmoreLKPOBOXHPFL
1492,spam,"Your account has been credited with  FREE Text Messages activate, just txt the word: CREDIT www..biz"
1500,spam,"SMS JSco: Energy high, but may not know where channel. day leadership skills strong. Psychic? Reply ANS/question. End? Reply END JSCO"
1502,spam,HOT LIVE FANTASIES call now  Just per min NTT Ltd Box  Croydon national rate call
1507,spam,Thanks for the Vote. Now sing along with the stars with Karaoke your mobile. For FREE link just reply with SING now.
1518,spam,Our brand new mobile music service now live. The free music player will arrive shortly. Just install your phone browse content from the top artists.
1521,spam,"URGENT! Your Mobile was awarded £, Bonus Caller Prize //! This our attempt contact YOU! Call -- BOXQU National Rate"
1536,spam,You have won Nokia. This what you get when you win our FREE auction take part send Nokia  now/Suite/Lands Row/WJHL +
1544,spam,"Hello from Orange. For  month free access games, news and sport, plus  free texts and  photo messages, reply YES. Terms apply: www.orange"
1573,spam, cash-balance currently  pounds maximize cash now send  only/msg/Suite/Lands Row/WJHL
1574,spam,SMS AUCTION BRAND NEW Nokia  auction today! Auction FREE  join & take part! Txt NOKIA  now/Suite/Lands Row/WJHL
1594,spam,PRIVATE! Your  Account Statement for shows-redeemed. points. Call  Identifier Code:  Expires //
1597,spam, Registered Subscriber draw £ gift voucher will entered receipt correct ans. When are the next olympics. Txt ans 
1598,spam,URGENT! Your Mobile number has been awarded with £ prize GUARANTEED. Call  from land line. Claim . Valid hrs only ppm
1613,spam,-KIng Pro Video Club>> Need help? info@ringtoneking call  You must + Club credits redeemable www.ringtoneking! Enjoy!
1623,spam, have secret admirer who looking  make contact with-find out who they*reveal who thinks special-call 
1625,spam, free text msgs. Just text  and credit your account
1628,spam,"You have been selected stay  top British hotels - FOR NOTHING! Holiday Worth Claim, Call London , SWSS"
1635,spam,"Eerie Nokia tones, rply TONE TITLE TONE DRACULA  Titles: GHOST, ADDAMSFA, MUNSTERS, EXORCIST, TWILIGHT www.getzed POBoxWWQ"
1638,spam,"$NETWORKS allow companies bill for SMS they are responsible for their ""suppliers"", just shop has give guarantee what they sell."
1640,spam,FreeMsg:Feelin kinda lnly hope like  keep company! Jst got cam moby wanna pic?Txt reply DATE  Msgp rcv Hlp  stop 
1653,spam,For chance win £ cash every TXT: ACTION www.movietrivia custcare
1659,spam,RGENT! This the attempt contact have WON £ CALL&CsBCMWCNXX. callcost ppm mobilesvary. max£. 
1663,spam, lookin  saucy daytime fun wiv busty married woman free all next week Chat now  sort time  JANINExx Calls£/minMobsmoreLKPOBOXHPFL
1673,spam,URGENT are trying contact. Todays draw shows that you have won £ prize GUARANTEED. Call  from land line. Claim. Valid hrs only
1674,spam,Monthly password for wap. mobsi.com . Use your wap phone not.
1687,spam,todays vodafone numbers ending with last four digits) are selected received £ award your number matches please call claim your £ award
1688,spam,Free Top ringtone -sub weekly ringtone-get week free-send SUBPOLY -? per week-stop sms-
1691,spam,Sunshine Quiz Wkly! Win top Sony DVD player know which country the Algarve? Txt ansr:Tyrone
1699,spam,Free msg. Sorry service you ordered from  could not delivered you not have sufficient credit. Please top receive the service.
1714,spam,Hard LIVE  chat just/min. Choose your girl and connect LIVE. Call  now! Cheap Chat biggest live service BCMWCNXX
1718,spam,WOW! The Boys Back. TAKE THAT Tour. Win VIP Tickets & pre-book with VIP Club. Txt CLUB . Trackmarque Ltd info@vipclubu.
1734,spam,", this Mandy Sullivan calling from HOTMIX...you are chosen receive our Easter Prize draw.....Please telephone claim before your prize will transferred someone else...."
1741,spam, GOING  BAHAMAS! CallFREEFONE  and speak live operator claim either Bahamas cruise£ CASH +only opt out txt 
1745,spam,Someone has conacted our dating service and entered your phone because they fancy you find out who call from landline . PoBoxntf
1765,spam,  IBH Customer Loyalty Offer: The NEW NOKIA Mobile from ONLY TXTAUCTION!Txt word:START: & get Yours Now&
1767,spam,SMS AUCTION You have won Nokia. This what you get when you win our FREE auction take part send Nokia  now/Suite/Lands Row/WJHL +
1777,spam,Call FREEPHONE    now!
1778,spam,Buy Space Invaders chance  win orig Arcade Game console. Press  for Games Arcade (std WAP charge) See/games  Terms + settings purchase
1780,spam,"Loan for any purpose £ - £,. Homeowners + Tenants welcome. Have you been previously refused can still help. Call Free text back 'help'"
1781,spam,BIG BROTHER ALERT! The computer has selected for cash # voucher. Call . NTT Box CRO Landline Cost ppm mobiles vary
1793,spam,WIN have winner. Foley won iPod! More exciting prizes soon keep eye mobile visit www.win
1807,spam,Todays Voda numbers ending  are selected receive £award you have match please call  quoting claim code  standard rates app 
1830,spam,"Hottest pics straight your phone!! See getting Wet and Wanting, just for you Text PICS  now! txt costs textoperator gga  XxX"
1839,spam,"Hack Chat. Get backdoor entry into  chat rooms fraction the cost. Reply NEO call subscribe. DPS, Bcm box  Ldn, wcnxx"
1848,spam,"FREE NOKIA Motorola with upto mths /price linerental,  FREE-net mins&txt/mth FREE'tooth*. Call Mobileupd call optout/DWV"
1853,spam,"This the time have tried  contact have won the  Pound prize.  claim easy, call  NOW! Only per min-national-rate "
1874,spam,You have WON guaranteed £ cash £ prize claim prize call our customer service representative
1875,spam,Would you like see XXX pics they are hot they were nearly banned the!
1876,spam,HMV BONUS SPECIAL  pounds genuine HMV vouchers won. Just answer  easy questions. Play Now! Send HMV  More info:www.percent-real.com
1880,spam, have secret admirer who looking  make contact with-find out who they*reveal who thinks special-call 
1887,spam,Dear xxxxxxx been invited XCHAT. This our final attempt contact! Txt CHAT/MsgrcvdHG/Suite/Lands/Row/WJHL LDN yrs 
1888,spam,Urgent! Please call  from landline. Your ABTA complimentary * Tenerife Holiday £ cash await collection SAE Box  CWWX ppm
1893,spam,CALL  & LISTEN EXTREME DIRTY LIVE CHAT GOING THE OFFICE RIGHT NOW TOTAL PRIVACY ONE KNOWS YOUR [sic] LISTENING MIN +
1895,spam,"FreeMsg Hey just got these video/pic fones, reply WILD this txt & ill send pics, hurry bored work xxx/rcvd STOPstop)"
1904,spam,Free entry weekly comp for chance win ipod. Txt POD get entry (std txt rate apply  for details +
